epoch,accuracy,precision,recall,f1
1,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
2,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
3,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
4,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
5,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
6,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
7,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
8,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
9,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
10,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
11,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
12,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
13,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
14,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
15,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
16,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
17,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
18,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
19,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
20,0.7945205479452054,0.6312629011071496,0.7945205479452054,0.7035449126843041
