epoch,accuracy,precision,recall,f1
1,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
2,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
3,0.5948717948717949,0.6113686054103293,0.5948717948717949,0.6025905352978905
4,0.7435897435897436,0.6825349499768105,0.7435897435897436,0.6412220000007354
5,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
6,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
7,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
8,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
9,0.6461538461538462,0.6186719263642341,0.6461538461538462,0.6307525764019102
10,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
11,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
12,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
13,0.7423076923076923,0.5526809519107337,0.7423076923076923,0.6336106865908191
14,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
15,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
16,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
17,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
18,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
19,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
20,0.7435897435897436,0.5529257067718606,0.7435897435897436,0.6342383107088989
